"Nombre","NombreMostrado","Estado","TipoInicio","Cuenta","RutaImagen","Ejecutable","EnRutaEstandar","RutaSinComillas","Descripcion","PID"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","True","False","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","2644"
"lfsvc","Geolocation Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","This service monitors the current location of the system and manages geofences (a geographical location with associated events).  If you turn off this service, applications will be unable to use or receive notifications for geolocation or geofences.","0"
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","C:\Windows\System32\svchost.exe","True","False","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then content acquired through the Microsoft Store will not function properly.","14484"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","C:\Windows\System32\svchost.exe","True","False","Creates a Network Map, consisting of PC and device topology (connectivity) information, and metadata describing each PC and device.  If this service is disabled, the Network Map will not function properly.","0"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services ...","1412"
"LSM","LSM","Running","Unknown","","","","False","False","","1168"
"MapsBroker","Downloaded Maps Manager","Stopped","Disabled","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","True","False","Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.","0"
"McpManagementService","McpManagementService","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup","C:\Windows\system32\svchost.exe","True","False","Universal Print Management Service","0"
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe""","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe","False","False","Monitors the availability, health, and performance of various security components","28728"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Running","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.78\elevation_service.exe""","C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.78\elevation_service.exe","True","False","Provides elevated privileges for Microsoft Edge.","53604"
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\Windows\system32\svchost.exe","True","False","Windows Defender Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.","2452"
"MSDTC","Distributed Transaction Coordinator","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\msdtc.exe","C:\Windows\System32\msdtc.exe","True","False","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start.","9600"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Manages Internet SCSI (iSCSI) sessions from this computer to remote iSCSI target devices. If this service is stopped, this computer will not be able to login or access iSCSI targets. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"msiserver","Windows Installer","Stopped","Manual","LocalSystem","C:\Windows\system32\msiexec.exe /V","C:\Windows\system32\msiexec.exe","True","False","Adds, modifies, and removes applications provided as a Windows Installer (*.msi, *.msp) package. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"MSMQ","Message Queuing","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\mqsvc.exe","C:\Windows\system32\mqsvc.exe","True","False","Provides a messaging infrastructure and development tool for creating distributed messaging applications for Windows-based networks and programs. If this service is stopped, distributed messages will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to ...","3832"
"MSSQLSERVER","SQL Server (MSSQLSERVER)","Running","Auto","NT Service\MSSQLSERVER","""C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlservr.exe"" -sMSSQLSERVER","C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlservr.exe","True","False","Provides storage, processing and controlled access of data, and rapid transaction processing.","5608"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides DirectAccess status notification for UI components","0"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Brokers connections that allow Windows Store Apps to receive notifications from the internet.","1492"
"Netlogon","Netlogon","Stopped","Manual","LocalSystem","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","True","False","Maintains a secure channel between this computer and the domain controller for authenticating users and services. If this service is stopped, the computer may not authenticate users and services and the domain controller cannot register DNS records. If this service is disabled, any services that exp...","0"
"Netman","Network Connections","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Manages objects in the Network and Dial-Up Connections folder, in which you can view both local area network and remote connections.","0"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","C:\Windows\System32\svchost.exe","True","False","Identifies the networks to which the computer has connected, collects and stores properties for these networks, and notifies applications when these properties change.","2388"
"NetSetupSvc","NetSetupSvc","Stopped","Unknown","","","","False","False","","0"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","True","False","Provides ability to share TCP ports over the net.tcp protocol.","0"
"NfsClnt","Client for NFS","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\nfsclnt.exe","C:\Windows\system32\nfsclnt.exe","True","False","Enables this computer to access files on NFS shares","4612"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Manages local user identity keys used to authenticate user to identity providers as well as TPM virtual smart cards. If this service is disabled, local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service.","0"
"NgcSvc","Microsoft Passport","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Provides process isolation for cryptographic keys used to authenticate to a user’s associated identity providers. If this service is disabled, all uses and management of these keys will not be available, which includes machine logon and single-sign on for apps and websites. This service starts and s...","0"
"NlaSvc","Network Location Awareness","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","True","False","Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped, configuration information might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","2044"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled, any other services that explicitly depend on this service will fail to start.","1716"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual","LocalSystem","""C:\Program Files\Microsoft OneDrive\26.134.0713.0004\OneDriveUpdaterService.exe""","C:\Program Files\Microsoft OneDrive\26.134.0713.0004\OneDriveUpdaterService.exe","True","False","Keeps your OneDrive up to date.","0"
"ose64","Office 64 Source Engine","Stopped","Manual","LocalSystem","""C:\Program Files\Common Files\Microsoft Shared\Source Engine\OSE.EXE""","C:\Program Files\Common Files\Microsoft Shared\Source Engine\OSE.EXE","True","False","Saves installation files used for updates and repairs and is required for the downloading of Setup updates and Watson error reports.","0"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped, PCA will not function properly.","11608"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\SysWow64\perfhost.exe","C:\Windows\SysWow64\perfhost.exe","True","False","Enables remote users and 64-bit processes to query performance counters provided by 32-bit DLLs. If this service is stopped, only local users and 32-bit processes will be able to query performance counters provided by 32-bit DLLs.","0"
"pla","Performance Logs & Alerts","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\System32\svchost.exe","True","False","Performance Logs and Alerts Collects performance data from local or remote computers based on preconfigured schedule parameters, then writes the data to a log or triggers an alert. If this service is stopped, performance information will not be collected. If this service is disabled, any services th...","0"
"PlugPlay","Plug and Play","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","844"
"PolicyAgent","IPsec Policy Agent","Running","Manual","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Internet Protocol security (IPsec) supports network-level peer authentication, data origin authentication, data integrity, data confidentiality (encryption), and replay protection.  This service enforces IPsec policies created through the IP Security Policies snap-in or the command-line tool ""netsh ...","3024"
"Power","Power","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","Manages power policy and power policy notification delivery.","844"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k print","C:\Windows\system32\svchost.exe","True","False","This service opens custom printer dialog boxes and handles notifications from a remote print server or a printer. If you turn off this service, you won’t be able to see printer extensions or notifications.","0"
"ProfSvc","User Profile Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","This service is responsible for loading and unloading user profiles. If this service is stopped or disabled, users will no longer be able to successfully sign in or sign out, apps might have problems getting to users' data, and components registered to receive profile event notifications won't recei...","1852"
"PushToInstall","Windows PushToInstall Service","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides infrastructure support for the Microsoft Store.  This service is started automatically and if disabled then remote installations will not function properly.","0"
"QWAVE","Quality Windows Audio Video Experience","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","True","False","Quality Windows Audio Video Experience (qWave) is a networking platform for Audio Video (AV) streaming applications on IP home networks. qWave enhances AV streaming performance and reliability by ensuring network quality-of-service (QoS) for AV applications. It provides mechanisms for admission cont...","58288"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Creates a connection to a remote network whenever a program references a remote DNS or NetBIOS name or address.","0"
"RasMan","Remote Access Connection Manager","Running","Auto","localSystem","C:\Windows\System32\svchost.exe -k netsvcs","C:\Windows\System32\svchost.exe","True","False","Manages dial-up and virtual private network (VPN) connections from this computer to the Internet or other remote networks. If this service is disabled, any services that explicitly depend on it will fail to start.","5056"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","localSystem","C:\Windows\System32\svchost.exe -k netsvcs","C:\Windows\System32\svchost.exe","True","False","Offers routing services to businesses in local area and wide area network environments.","0"
"RemoteRegistry","Remote Registry","Stopped","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k localService -p","C:\Windows\system32\svchost.exe","True","False","Enables remote users to modify registry settings on this computer. If this service is stopped, the registry can be modified only by users on this computer. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"RmSvc","Radio Management Service","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","C:\Windows\System32\svchost.exe","True","False","Radio Management and Airplane Mode Service","0"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k RPCSS -p","C:\Windows\system32\svchost.exe","True","False","Resolves RPC interfaces identifiers to transport endpoints. If this service is stopped or disabled, programs using Remote Procedure Call (RPC) services will not function properly.","1108"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\locator.exe","C:\Windows\system32\locator.exe","True","False","In Windows 2003 and earlier versions of Windows, the Remote Procedure Call (RPC) Locator service manages the RPC name service database. In Windows Vista and later versions of Windows, this service does not provide any functionality and is present for application compatibility.","0"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k rpcss -p","C:\Windows\system32\svchost.exe","True","False","The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. ...","1108"
"RSoPProv","Resultant Set of Policy Provider","Stopped","Manual","LocalSystem","C:\Windows\system32\RSoPProv.exe","C:\Windows\system32\RSoPProv.exe","True","False","Provides a network service that processes requests to simulate application of Group Policy settings for a target user or computer in various situations and computes the Resultant Set of Policy settings.","0"
"sacsvr","Special Administration Console Helper","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Allows administrators to remotely access a command prompt using Emergency Management Services.","0"
"SamSs","Security Accounts Manager","Running","Auto","LocalSystem","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","True","False","The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. Thi...","716"
"SBOClientAgent","SAP Business One Client Agent","Running","Auto","LocalSystem","""C:\Program Files (x86)\SAP\SAP Business One Client Agent\B1ClientAgent.exe""","C:\Program Files (x86)\SAP\SAP Business One Client Agent\B1ClientAgent.exe","True","False","","3608"
"SBODI_Server","SAP Business One DI Server","Stopped","Manual","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\DI_Server\B1_DIServer.exe""","C:\Program Files\SAP\SAP Business One ServerTools\DI_Server\B1_DIServer.exe","True","False","","0"
"SBOMail","SAP Business One Messaging Service","Running","Auto","LocalSystem","""c:\Program Files\SAP\SAP Business One ServerTools\Mailer\B1_Mailer.exe""","c:\Program Files\SAP\SAP Business One ServerTools\Mailer\B1_Mailer.exe","True","False","SAP Business One Messaging Service","3656"
"SCardSvr","Smart Card","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","C:\Windows\system32\svchost.exe","True","False","Manages access to smart cards read by this computer. If this service is stopped, this computer will be unable to read smart cards. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","C:\Windows\system32\svchost.exe","True","False","Creates software device nodes for all smart card readers accessible to a given session. If this service is disabled, WinRT APIs will not be able to enumerate smart card readers.","0"
"Schedule","Task Scheduler","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on ...","2080"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","C:\Windows\system32\svchost.exe","True","False","Allows the system to be configured to lock the user desktop upon smart card removal.","0"
"seclogon","Secondary Logon","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Enables starting processes under alternate credentials. If this service is stopped, this type of logon access will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"SecurityHealthService","Windows Security Service","Running","Manual","LocalSystem","C:\Windows\system32\SecurityHealthService.exe","C:\Windows\system32\SecurityHealthService.exe","True","False","Windows Security Service handles unified device protection and health information","30808"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","Manages payments and Near Field Communication (NFC) based secure elements.","0"
"SENS","System Event Notification Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Monitors system events and notifies subscribers to COM+ Event System of these events.","1648"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual","LocalSystem","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""","C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe","True","False","Windows Defender Advanced Threat Protection service helps protect against advanced threats by monitoring and reporting security events that happen on the computer.","0"
"SensorDataService","Sensor Data Service","Stopped","Disabled","LocalSystem","C:\Windows\System32\SensorDataService.exe","C:\Windows\System32\SensorDataService.exe","True","False","Delivers data from a variety of sensors","0"
"SensorService","Sensor Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","A service for sensors that manages different sensors' functionality. Manages Simple Device Orientation (SDO) and History for sensors. Loads the SDO sensor that reports device orientation changes.  If this service is stopped or disabled, the SDO sensor will not be loaded and so auto-rotation will not...","0"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","True","False","Monitors various sensors in order to expose data and adapt to system and user state.  If this service is stopped or disabled, the display brightness will not adapt to lighting conditions. Stopping this service may affect other system functionality and features as well.","0"
"SessionEnv","Remote Desktop Configuration","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders, RD themes, and RD certificates.","2812"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides network address translation, addressing, name resolution and/or intrusion prevention services for a home or small office network.","0"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides notifications for AutoPlay hardware events.","2332"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Manages profiles and accounts on a SharedPC configured device","0"
"SLDAgentOP","SAP Business One SLD Agent Service","Running","Auto","LocalSystem","""c:\Program Files\SAP\SAP Business One SLD Agent\sldagentservice\sldAgent.exe"" //RS//SLDAgentOP","c:\Program Files\SAP\SAP Business One SLD Agent\sldagentservice\sldAgent.exe","True","False","SAP Business One SLD Agent Service","3576"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k smphost","C:\Windows\System32\svchost.exe","True","False","Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled, Storage Spaces cannot be managed.","0"
"SNMP","SNMP Service","Running","Auto","LocalSystem","C:\Windows\System32\snmp.exe","C:\Windows\System32\snmp.exe","True","False","Enables Simple Network Management Protocol (SNMP) requests to be processed by this computer. If this service is stopped, the computer will be unable to process SNMP requests. If this service is disabled, any services that explicitly depend on it will fail to start.","3568"
"SNMPTRAP","SNMP Trap","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\snmptrap.exe","C:\Windows\System32\snmptrap.exe","True","False","Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped, SNMP-based programs on this computer will not receive SNMP trap messages. If this service i...","0"
"Spooler","Print Spooler","Running","Auto","LocalSystem","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\spoolsv.exe","True","False","This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won’t be able to print or see your printers.","3040"
"sppsvc","Software Protection","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\sppsvc.exe","C:\Windows\system32\sppsvc.exe","True","False","Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.","16580"
"SQLBrowser","SQL Server Browser","Running","Auto","NT AUTHORITY\LOCALSERVICE","""C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe""","C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe","True","False","Provides SQL Server connection information to client computers.","3816"
"SQLSERVERAGENT","SQL Server Agent (MSSQLSERVER)","Running","Auto","NT Service\SQLSERVERAGENT","""C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\SQLAGENT.EXE"" -i MSSQLSERVER","C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\SQLAGENT.EXE","True","False","Executes jobs, monitors SQL Server, fires alerts, and allows automation of some administrative tasks.","13356"
"SQLTELEMETRY","SQL Server CEIP service (MSSQLSERVER)","Running","Auto","NT Service\SQLTELEMETRY","""C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlceip.exe"" -Service","C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlceip.exe","True","False","CEIP service for Sql server","5600"
"SQLWriter","SQL Server VSS Writer","Running","Auto","LocalSystem","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","True","False","Provides the interface to backup/restore Microsoft SQL server through the Windows VSS infrastructure.","3624"
"SSDPSRV","SSDP Discovery","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","True","False","Discovers networked devices and services that use the SSDP discovery protocol, such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped, SSDP-based devices will not be discovered. If this service is disabled, any services that explicitl...","0"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","LocalSystem","C:\Windows\System32\OpenSSH\ssh-agent.exe","C:\Windows\System32\OpenSSH\ssh-agent.exe","True","False","Agent to hold private keys used for public key authentication.","0"
"sshd","OpenSSH SSH Server","Running","Auto","LocalSystem","C:\Windows\System32\OpenSSH\sshd.exe","C:\Windows\System32\OpenSSH\sshd.exe","True","False","SSH protocol based service to provide secure encrypted communications between two untrusted hosts over an insecure network.","3596"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","Provides support for the Secure Socket Tunneling Protocol (SSTP) to connect to remote computers using VPN. If this service is disabled, users will not be able to use SSTP to access remote servers.","3472"
"StateRepository","State Repository Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","True","False","Provides required infrastructure support for the application model.","8928"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k imgsvc","C:\Windows\system32\svchost.exe","True","False","Provides image acquisition services for scanners and cameras","0"
"StorSvc","Storage Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Provides enabling services for storage settings and external storage expansion","7280"
"svsvc","Spot Verifier","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Verifies potential file system corruptions.","0"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k swprv","C:\Windows\System32\svchost.exe","True","False","Manages software-based volume shadow copies taken by the Volume Shadow Copy service. If this service is stopped, software-based volume shadow copies cannot be managed. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"SysMain","SysMain","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Maintains and improves system performance over time.","3712"
"SystemEventsBroker","System Events Broker","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered.","844"
"Tableau Bridge worker(db_replica@SRV-SAP)","Tableau Bridge worker(db_replica@SRV-SAP)","Stopped","Auto",".\db_replica","""C:\Program Files\Tableau\Tableau Bridge\bin\TabBridgeClientWorker.exe""","C:\Program Files\Tableau\Tableau Bridge\bin\TabBridgeClientWorker.exe","True","False","","0"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Enables Touch Keyboard and Handwriting Panel pen and ink functionality","15080"
"TAO_NT_Naming_Service","TAO NT Naming Service (64-bit)","Running","Manual","LocalSystem","""c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\TAO_NT_CosNaming.exe""","c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\TAO_NT_CosNaming.exe","True","False","TAO NT Naming Service (64-bit) for SAP Business One License Manager (64-bit)","6680"
"tapisrv","Telephony","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","True","False","Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and, through the LAN, on servers that are also running the service.","0"
"TermService","Remote Desktop Services","Running","Manual","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k termsvcs","C:\Windows\System32\svchost.exe","True","False","Allows users to connect interactively to a remote computer. Remote Desktop and Remote Desktop Session Host Server depend on this service.  To prevent remote use of this computer, clear the checkboxes on the Remote tab of the System properties control panel item.","1388"
